title,release_date,release_year,revenue,genres
Four Rooms,1995-12-09,1995,4300000,"['Crime', 'Comedy']"
Judgment Night,1993-10-15,1993,12,"['Action', 'Thriller', 'Crime']"
Star Wars,1977-05-25,1977,775398007,"['Adventure', 'Action', 'Science Fiction']"
Finding Nemo,2003-05-30,2003,940335536,"['Animation', 'Family']"
Forrest Gump,1994-07-06,1994,677945399,"['Comedy', 'Drama', 'Romance']"
American Beauty,1999-09-15,1999,356296601,['Drama']
Citizen Kane,1941-04-30,1941,23217674,"['Mystery', 'Drama']"
Dancer in the Dark,2000-05-17,2000,40031879,"['Drama', 'Crime', 'Music']"
The Endless Summer,1966-06-15,1966,0,['Documentary']
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,2003,655011224,"['Adventure', 'Fantasy', 'Action']"
Kill Bill: Vol. 1,2003-10-10,2003,180949045,"['Action', 'Crime']"
Jarhead,2005-11-04,2005,96889998,"['Drama', 'War']"
Apocalypse Now,1979-08-15,1979,89460381,"['Drama', 'War']"
Unforgiven,1992-08-07,1992,159157447,['Western']
The Simpsons Movie,2007-07-25,2007,527068851,"['Animation', 'Comedy', 'Family']"
Eternal Sunshine of the Spotless Mind,2004-03-19,2004,72258126,"['Science Fiction', 'Drama', 'Romance']"
Pirates of the Caribbean: Dead Man's Chest,2006-06-20,2006,1065659812,"['Adventure', 'Fantasy', 'Action']"
A History of Violence,2005-09-23,2005,60740827,"['Drama', 'Thriller', 'Crime']"
2001: A Space Odyssey,1968-04-09,1968,68700000,"['Science Fiction', 'Mystery', 'Adventure']"
Twelve Monkeys,1995-12-29,1995,168840000,"['Science Fiction', 'Thriller', 'Mystery']"
8 Mile,2002-11-08,2002,242875078,['Drama']
Absolute Power,1997-02-14,1997,50068310,"['Crime', 'Drama', 'Thriller']"
Walk the Line,2005-09-13,2005,186438883,"['Drama', 'Music', 'Romance']"
Million Dollar Baby,2004-12-15,2004,216763646,['Drama']
American History X,1998-10-30,1998,23875127,['Drama']
War of the Worlds,2005-06-28,2005,591739379,"['Adventure', 'Thriller', 'Science Fiction']"
Mars Attacks!,1996-12-12,1996,101371017,"['Comedy', 'Fantasy', 'Science Fiction']"
Before Sunrise,1995-01-27,1995,5535405,"['Drama', 'Romance']"
Memento,2000-10-11,2000,39723096,"['Mystery', 'Thriller']"
Blade Runner,1982-06-25,1982,0,"['Science Fiction', 'Drama', 'Thriller']"
Before Sunset,2004-02-10,2004,15992615,"['Drama', 'Romance']"
Miami Vice,2006-07-27,2006,163794509,"['Action', 'Adventure', 'Crime', 'Thriller']"
Open Water,2003-12-29,2003,54667954,"['Drama', 'Thriller']"
Raiders of the Lost Ark,1981-06-12,1981,389925971,"['Adventure', 'Action']"
Indiana Jones and the Temple of Doom,1984-05-23,1984,333000000,"['Adventure', 'Action']"
Dirty Dancing,1987-08-21,1987,6000000,"['Drama', 'Music', 'Romance']"
Indiana Jones and the Last Crusade,1989-05-24,1989,474171806,"['Adventure', 'Action']"
Beverly Hills Cop,1984-11-29,1984,316360478,"['Action', 'Comedy', 'Crime']"
Anatomy of a Murder,1959-07-01,1959,0,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Armageddon,1998-07-01,1998,553799566,"['Action', 'Thriller', 'Science Fiction', 'Adventure']"
Beverly Hills Cop II,1987-05-18,1987,299965036,"['Action', 'Comedy', 'Crime']"
Tron,1982-07-09,1982,33000000,"['Science Fiction', 'Action', 'Adventure']"
Gladiator,2000-05-01,2000,457640427,"['Action', 'Drama', 'Adventure']"
Leon: The Professional,1994-09-14,1994,45284974,"['Thriller', 'Crime', 'Drama']"
Taxi Driver,1976-02-07,1976,28262574,"['Crime', 'Drama']"
Back to the Future,1985-07-03,1985,381109762,"['Adventure', 'Comedy', 'Science Fiction', 'Family']"
Predator,1987-06-11,1987,98235548,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Snatch,2000-09-01,2000,83557872,"['Thriller', 'Crime']"
Scarface,1983-12-08,1983,65884703,"['Action', 'Crime', 'Drama', 'Thriller']"
Pretty Woman,1990-03-23,1990,463000000,"['Romance', 'Comedy']"
The Big Lebowski,1998-03-06,1998,46189568,"['Comedy', 'Crime']"
Match Point,2005-10-26,2005,85306374,"['Drama', 'Thriller', 'Crime', 'Romance']"
The Untouchables,1987-06-02,1987,76270454,"['Crime', 'Drama', 'History', 'Thriller']"
Charlie and the Chocolate Factory,2005-07-13,2005,474968763,"['Music', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,2001,871368364,"['Adventure', 'Fantasy', 'Action']"
The Lord of the Rings: The Two Towers,2002-12-18,2002,926287400,"['Adventure', 'Fantasy', 'Action']"
The Lord of the Rings: The Return of the King,2003-12-01,2003,1118888979,"['Adventure', 'Fantasy', 'Action']"
The Lord of the Rings,1978-11-15,1978,30471420,"['Adventure', 'Animation', 'Drama', 'Fantasy']"
Gimme Shelter,1970-12-06,1970,252570,"['Documentary', 'Music']"
"O Brother, Where Art Thou?",2000-08-30,2000,71868327,"['Action', 'Adventure', 'Comedy']"
Freaks,1932-02-20,1932,0,"['Drama', 'Horror']"
Groundhog Day,1993-02-11,1993,70906973,"['Romance', 'Fantasy', 'Drama', 'Comedy']"
Dracula,1931-02-12,1931,0,['Horror']
Donnie Darko,2001-01-18,2001,1270522,"['Fantasy', 'Drama', 'Mystery']"
Brokeback Mountain,2005-09-02,2005,178043761,"['Drama', 'Romance']"
All Quiet on the Western Front,1930-04-29,1930,0,"['Drama', 'War']"
"Crouching Tiger, Hidden Dragon",2000-08-19,2000,213525736,"['Adventure', 'Drama', 'Action', 'Romance']"
48 Hrs.,1982-12-07,1982,78868508,"['Thriller', 'Action', 'Comedy', 'Crime', 'Drama']"
Star Trek: The Motion Picture,1979-12-06,1979,139000000,"['Science Fiction', 'Adventure', 'Mystery']"
Lost in Translation,2003-08-31,2003,119723856,['Drama']
Star Trek II: The Wrath of Khan,1982-06-03,1982,96800000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
The Dark Knight,2008-07-16,2008,1004558444,"['Drama', 'Action', 'Crime', 'Thriller']"
Star Trek III: The Search for Spock,1984-05-31,1984,87000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Ocean's Eleven,2001-12-07,2001,450717150,"['Thriller', 'Crime']"
Edward Scissorhands,1990-12-05,1990,53000000,"['Fantasy', 'Drama', 'Romance']"
Ocean's Twelve,2004-12-09,2004,362744280,"['Thriller', 'Crime']"
Breakfast at Tiffany's,1961-10-05,1961,9500000,"['Comedy', 'Drama', 'Romance']"
Back to the Future Part II,1989-11-22,1989,332000000,"['Adventure', 'Comedy', 'Family', 'Science Fiction']"
K-PAX,2001-10-22,2001,50315140,"['Drama', 'Science Fiction']"
Star Trek IV: The Voyage Home,1986-11-25,1986,133000000,"['Science Fiction', 'Adventure']"
Predator 2,1990-11-20,1990,57120318,"['Science Fiction', 'Action', 'Thriller']"
Star Trek V: The Final Frontier,1989-06-09,1989,70200000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
"20,000 Leagues Under the Sea",1954-12-23,1954,28200000,"['Adventure', 'Drama', 'Science Fiction']"
Star Trek VI: The Undiscovered Country,1991-12-05,1991,96900000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
The Big Blue,1988-05-11,1988,0,"['Adventure', 'Drama', 'Romance']"
Saw,2004-10-01,2004,103911669,"['Horror', 'Mystery', 'Crime']"
The Fisher King,1991-09-09,1991,41895491,"['Comedy', 'Drama']"
Blown Away,1994-07-01,1994,30156002,"['Drama', 'Action', 'Thriller']"
The Interpreter,2005-04-08,2005,162944923,"['Crime', 'Thriller']"
Minority Report,2002-06-20,2002,358372926,"['Action', 'Thriller', 'Science Fiction', 'Mystery']"
The Good German,2006-12-08,2006,5914908,"['Drama', 'Thriller', 'Mystery']"
The Wizard,1989-12-15,1989,14278900,"['Adventure', 'Comedy', 'Drama', 'Family', 'Romance']"
Jackie Brown,1997-12-24,1997,39673162,"['Crime', 'Thriller']"
A Clockwork Orange,1971-12-18,1971,26589000,"['Science Fiction', 'Drama']"
Lucky Number Slevin,2006-02-24,2006,56308881,"['Drama', 'Thriller', 'Crime', 'Mystery']"
Sin City,2005-04-01,2005,158733820,"['Action', 'Thriller', 'Crime']"
Sin City: A Dame to Kill For,2014-08-20,2014,39407616,"['Crime', 'Thriller']"
Star Trek: Generations,1994-11-17,1994,120000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Trouble in Paradise,1932-10-21,1932,0,"['Comedy', 'Romance']"
